feature,importance
num__prior_total_tickets,0.88086003
num__youtube,0.11419239
num__wiki,0.004947629
num__trends,0.0
num__spotify,0.0
num__prior_run_count,0.0
num__ticket_median_prior,0.0
num__years_since_last_run,0.0
num__is_remount_recent,0.0
num__is_remount_medium,0.0
num__run_count_prior,0.0
num__month_of_opening,0.0
num__holiday_flag,0.0
num__consumer_confidence_prairies,0.0
num__energy_index,0.0
num__inflation_adjustment_factor,0.0
num__city_median_household_income,0.0
num__aud__engagement_factor,0.0
num__res__arts_share_giving,0.0
cat__category_adult_literary_drama,0.0
cat__category_classic_comedy,0.0
cat__category_classic_romance,0.0
cat__category_contemporary,0.0
cat__category_contemporary_mixed_bill,0.0
cat__category_family_classic,0.0
cat__category_pop_ip,0.0
cat__category_romantic_tragedy,0.0
cat__category_touring_contemporary_company,0.0
cat__gender_co,0.0
cat__gender_female,0.0
cat__gender_male,0.0
